ValidTime,APCP6hr_surface_25% level,APCP6hr_surface_75% level,APCP6hr_surface_50% level,APCP24hr_surface_25% level,APCP24hr_surface_75% level,APCP24hr_surface_50% level,APTMP_2 m above ground,ASNOW24hr_surface_25% level,ASNOW24hr_surface_50% level,ASNOW24hr_surface_75% level,ASNOW6hr_surface_25% level,ASNOW6hr_surface_50% level,ASNOW6hr_surface_75% level,DPT_2 m above ground,DPT_2 m above ground_ens std dev,GUST_10 m above ground_ens std dev,SNOWLR_surface_25% level,SNOWLR_surface_50% level,SNOWLR_surface_75% level,SNOWLVL_surface_25% level,SNOWLVL_surface_50% level,SNOWLVL_surface_75% level,TMP_2 m above ground,TMP_2 m above ground_ens std dev,TMP_Max_2 m above ground_25% level,TMP_Max_2 m above ground_50% level,TMP_Max_2 m above ground_75% level,TMP_Min_2 m above ground_25% level,TMP_Min_2 m above ground_50% level,TMP_Min_2 m above ground_75% level,WDIR_80 m above ground,WIND_10 m above ground,WIND_10 m above ground_ens mean,WIND_10 m above ground_ens std dev,TCDC_surface,TCDC_surface_ens std dev
2025103118,,,,,,,280.21,,,,0,0,0,280.41,1.32,3.64526,1.6,2.4,3,1232,1515,1831,282.39,1.32,,,,,,,170,4.1,4.10353,2.27532,82,5
2025103119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025103120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025103121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025103122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025103123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110100,,,17.304,,,17.304,285.01,0,0,0,0,0,0,282.67,0.93,3.36214,1.5,2.4,2.9,1352,1635,2000,284.99,0.95,,,,,,,190,3.7,3.7409,2.24564,75,23
2025110101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110106,,,,,,,284.55,,,,0,0,0,281.85,0.5,4.11937,1.6,2.6,2.9,1304,1523,1919,284.55,0.47,283.878,285.474,286.553,283.878,285.474,286.553,180,4.1,4.1351,2.319,82,5
2025110107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110112,,,21.516,,,21.516,283.54,0,0,0,0,0,0,281.45,0.32,3.52242,1.5,2.6,3.2,1264,1496,2185,283.44,0.57,,,,,,,170,4.5,4.13799,2.24067,81,10
2025110113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110118,,,,,,,283.61,,,,0,0,0,282.44,1.29,2.8561,1.7,3.2,4.5,1256,1480,2134,283.42,1.27,,,,,,,170,4.1,4.09195,1.50054,83,10
2025110119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110200,,,18.335,,,18.335,285.91,0,0,0,0,0,0,283.53,1.53,3.07053,1.9,3.2,4.4,1296,1528,2181,285.79,1.52,,,,,,,190,3.7,3.68269,2.28677,73,9
2025110201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110206,,,,,,,284.85,,,,0,0,0,282.01,1.37,3.72,1.6,3.5,4.7,1240,1488,2209,284.9,1.36,,,,,,,170,4.2,,2.4,77,8
2025110207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025110209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
